User: USER;;;;;;;;;;;;;;;
Path: C:\Program Files (x86)\BMG\Omega\User\Data\;;;;;;;;;;;;;;;
Test ID: 2820;;;;;;;;;;;;;;;
Test Name: BM chemoluminescence;;;;;;;;;;;;;;;
Date: 25-01-2024;;;;;;;;;;;;;;;
Time: 11:23:08;;;;;;;;;;;;;;;
ID1: H6N1/Cali ELISA Pig Sera Sample X 1-10  OLSE 25/01;;;;;;;;;;;;;;;
Luminescence;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Raw Data (lens);;;;;;;pooled 4;;;;;;;
;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;VIRUS;POSITIVE;;;
A;20635;8593;32461;19804;41440;12240;7525;217603;13445;9921;368942;338;;;
B;52061;85857;144211;72517;143051;45957;45581;350018;64959;47725;369898;896;;;
C;150132;223381;255557;188826;265538;130538;160672;354851;183265;161246;361682;8818;;;
D;257501;287025;313495;293681;324232;257024;287320;366805;301231;288352;361601;56379;;;
E;335322;333922;358460;327047;356941;335230;346041;370122;358577;357759;504;215461;;;
F;348147;366358;354421;341930;357560;360207;359000;373210;365745;379738;429;316509;;;
G;363058;361277;346034;339523;349215;348380;350736;217895;365799;350898;343;371841;;;
H;342967;349158;340161;347380;336034;382930;384552;359707;356967;355840;495;368557;;;
;;;;;;;;;;;NEGATIVE;;;;
;;;;;;;;;;;443;;;;
;;;;;;;;;;;;;;;
;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;VIRUS;POSITIVE;;Dilution;Log10
A;20192;8150;32018;19361;40997;11797;7082;217160;13002;9478;368499;-105;;30;1,48
B;51618;85414;143768;72074;142608;45514;45138;349575;64516;47282;369455;453;;120;2,08
C;149689;222938;255114;188383;265095;130095;160229;354408;182822;160803;361239;8375;;480;2,68
D;257058;286582;313052;293238;323789;256581;286877;366362;300788;287909;361158;55936;;1920;3,28
E;334879;333479;358017;326604;356498;334787;345598;369679;358134;357316;61;215018;;7680;3,89
F;347704;365915;353978;341487;357117;359764;358557;372767;365302;379295;-14;316066;;30720;4,49
G;362615;360834;345591;339080;348772;347937;350293;217452;365356;350455;-100;371398;;122880;5,09
H;342524;348715;339718;346937;335591;382487;384109;359264;356524;355397;52;368114;;491520;5,69
;;;;;;;;;Virus 50% cut off;;182544;;;;
;Calculated from GraphPad;;50% NA inhibition titer;;;;;;;;;;;;
;X1;2,86;723,44;;;;;;;;;;;;
;X2;2,53;341,27;;;;;;;;;;;;
;X3;2,27;188,05;;;;;;;;;;;;
;X4;2,65;447,91;;;;;;;;;;;;
;X5;2,26;183,22;;;;;;;;;;;;
;X6;2,92;837,26;;;;;;;;;;;;
;X7;2,78;601,89;;;;;;;;;;;;
;X8;0,00;1,00;;;;;;;;;;;;
;X9;2,68;474,59;;;;;;;;;;;;
;X10;2,77;592,19;;;;;;;;;;;;
;Positive;3,80;6311,83;;;;;;;;;;;;
